,resource_state,name,distance,moving_time,elapsed_time,total_elevation_gain,type,workout_type,id,external_id,upload_id,start_date,start_date_local,timezone,utc_offset,start_latlng,end_latlng,location_city,location_state,location_country,start_latitude,start_longitude,achievement_count,kudos_count,comment_count,athlete_count,photo_count,trainer,commute,manual,private,visibility,flagged,gear_id,from_accepted_tag,upload_id_str,average_speed,max_speed,average_cadence,has_heartrate,average_heartrate,max_heartrate,heartrate_opt_out,display_hide_heartrate_option,elev_high,elev_low,pr_count,total_photo_count,has_kudoed,athlete.id,athlete.resource_state,map.id,map.summary_polyline,map.resource_state,average_watts,kilojoules,device_watts,average_temp,max_watts,weighted_average_watts
0,2,Long run,22105.2,7208,7328,135.9,Run,0.0,6283890938,garmin_push_7848032482,6678494604,2021-11-20T13:37:29Z,2021-11-20T08:37:29Z,(GMT-05:00) America/New_York,-18000.0,"[40.68852536380291, -73.9710852317512]","[40.68961978890002, -73.97117106243968]",,,United States,40.68852536380291,-73.97117106243968,7,8,2,1,0,False,False,False,False,everyone,False,g9386199,False,6678494604,3.067,12.692,85.5,True,164.6,181.0,False,True,44.8,3.2,1,0,False,3171594,1,a6283890938,g~iwFhnnbM}Iz@}Ez@sCHmEz@gEHuAZi@Is@Z_D^g@X}@G}Bh@oDLSWYqBBsBSc@I}@\gBJsDh@sY}@cJ]oCaD{@wCYcBRw@b@i@n@NF_FvGCj@i@lAqAnAaAnBs@ZoCrEs@f@sIfC{F|A}II{AJkB]w@ZsAWS\q@BwDuA}@GmAcAUDiB}@mEmAw@s@_A@oCoAuDy@eC_CwAaCuAcAe@wAgAgACSgBkAu@eA_Ay@}CeCUq@_AeAqDmDgA_BsAkA}H_JmJoAaHq@qA`@mBD}Cn@mBCkA\oBFOOm@@g@HY^sBFKNyAK{Er@{AOa@j@sBK[Lw@}FIsDc@sFJi@Mg@E{Ci@wEsNpAm[oHa@Ce@VYg@eCe@Iq@oKgCqAFy@i@iAGsA}@yBm@yAGm@[K[D]l@cBUkAJwAVgAO}@QSw@BoBe@oEoDyAaBAMhBwCXgAdAoBiAaB{AcAKg@YF_Ak@W[J{@Zu@c@eBAkAl@}Au@`DQPOvBqBnEyBdGqCnJyF|O{AjGkChH}BnIyJnX}BvHuBzEy@pDAj@k@`Ak@nCmA|Al@[Ty@IuANy@lA^p@t@hBv@~A`@jBlBpDnAAT~BdA~@fAtDhBt@`AhATtA~@|BrBbAh@?l@n@^h@Mr@tAd@Fh@`AvAn@hDjC|@^fC`CjDdBf@_@XfA~AnAd@Ap@z@fClBn@UpB|BbCbBTErB~@h@EpBtApEdBSRLRfAg@j@JJ|@b@~@jCtB~@lAVp@fBb@t@v@tAn@fCdCxAlApAD|@zAzCdA~@t@h@`AjB`BpBtA`A^~FrEvBLnBhBbAb@~BfC^Tb@EzIxEnF|EdCxAf@l@jDnBtEdEjBn@rAfAjA`@~FtDvT|G\PEHnAb@Zx@tCz@~HfD`Cf@pE~BJRA|@q@dBA`@u@`C[jC]p@Ij@^`EPIZkAdAaAD[~@gA|@_@tBExFgB|BiCrBc@j@s@hBo@r@s@rCk@hDgCfCuAjFwBxAQhAy@dFeBlB_B~KsFrC}@p@b@f@GZ]Jw@|@eArAUd@u@XOtAHXW~AB\^p@KhBl@xD[~@RlCCNq@IuBKSRsA@eBQqBTg@?aBQ_BCyC^yEC_AYkA@g@Xq@pG{@xCkEP_BBeC^iALiC?{ETwJvCq@|CSIaFFoCpCu@rGg@,2,,,,,,
1,2,Recovery run,6061.1,2125,2363,46.5,Run,0.0,6276813009,garmin_push_7840085088,6670906177,2021-11-18T22:05:06Z,2021-11-18T17:05:06Z,(GMT-05:00) America/New_York,-18000.0,"[40.68876726552844, -73.9709747582674]","[40.68788414821029, -73.97078884765506]",,,United States,40.68876726552844,-73.97078884765506,0,5,0,1,0,False,False,False,False,everyone,False,g9467857,False,6670906177,2.852,7.05,83.0,True,158.3,179.0,False,True,26.4,5.8,0,0,False,3171594,1,a6276813009,w_jwFrmnbMIBR@E@ECN?@Bk@BWEAJc@T]HGDAJ@n@ARB^A`@Ev@?^In@@f@BFINKb@EHERBt@Ar@D^MbAErAOrAElB@ZEBKlARv@LnA?HEHFb@ATK`AEj@I`@ArABJMx@CfBHfABFEJ^DDFLBDLILMd@@f@EJ?JDJGLDADD@lAIf@BFG^Sp@I`@Dl@DjAMXEFE?LRMh@Cp@Ob@]d@M\?f@M\@V?P_@dBo@jBCJBNAZu@pAc@pBIAK@Kp@_@`@KRGVGp@m@zAOhAINI\CBEAOPUbAMRCCG@_@vAKPAAGD_@Z_@NIJo@TM@GLs@j@k@RGFAFAf@IBMPUf@KV?JLb@?BDCB?@t@AJU^Cp@Ob@Cb@U`AGp@Id@Wj@U|@EXW|@Ch@Sb@Gj@e@rB@NMb@?p@GXIZQ`@I^IXMp@?DETSZ@\CTEHCj@GVC^KTIBAKG@ACUC?CkAo@EAOFKUMI}Aa@{@c@qAa@SMg@QIIq@[w@Ug@WSGc@EWM[UWSAEAMLg@KSAKB?PUV@VFV@b@PBFAHJABE@QHSLYLe@HKDUHe@AEH_@@w@BMHIHEVgAJYBQP_@Jq@V{@@UTi@DQ?GGEBCCU@GFM?GEQBICQBSNMFOLKN]ZSPAJKJUPOjB]LGPQLa@PaB@cAEMBg@Lu@Bo@J_@AGBOLEBCLCLq@?s@HwA@OCKDY@k@AMGQCMDI@QEu@IWMQNSLk@@KHEL}BAg@Do@AcAFYCS?_@FgA?eADi@COBYCa@Bg@GsAF{@AYQw@Im@]y@D}BN[HEj@Cl@Wh@G^Cx@O\Cb@I\SPOT[L[b@o@b@YL{@?M@CIc@?cAJo@`@c@Ha@?SEm@?UDSDeCLgA?SE]BKVQJY@_@Jc@CsAF{@Pg@PYPMFEJ?d@Ah@BTCJEXa@TOHKPkC?YF_ADuDDIVQf@E\Kn@YXQXGb@?b@G~@Ad@_@JCJ?VTRDj@Aj@Od@FJAj@KfAe@h@K,2,,,,,,
2,2,Workout Wednesday,9850.0,3004,3018,0.0,Run,0.0,6272684257,garmin_push_7835420524,6666491693,2021-11-17T22:33:29Z,2021-11-17T17:33:29Z,(GMT-05:00) America/New_York,-18000.0,"[40.72054482065141, -73.95177148282528]","[40.71929491125047, -73.95166209898889]",,,United States,40.72054482065141,-73.95166209898889,6,4,0,3,0,False,False,False,False,everyone,False,g9386199,False,6666491693,3.279,4.96,83.9,True,172.2,198.0,False,True,4.7,4.5,1,0,False,3171594,1,a6272684257,kfpwFrujbMFA?IFDDCJFBI|@B@GhBSJIT[Je@C]O_@QQUI]BYFS?MFu@J_@BUHOLINER?\DXNVPNXDvAOdAGZMRSJUFWA]G[YY[G]BOCiB^[BYLQVGZ@d@HTJNRH\Bt@Cj@Iz@CVIRURq@?WI[SUMISAs@DeCb@[VKXCZ@THXXf@BFAF@QVOnDc@RMP[Jo@EWOWOMKEMAoCb@u@PSHEFEd@@VLf@PLRFT?tC]TGLINSLc@?SAQIWQOUI_AH{BZMDKHQ\ENAPDZJTNLTFhDYTILINUF[@e@GYMSSIO?eD`@UHSLMREN@d@BPLRRLRDpD[NIPUJc@@[CYGMQQSEO?{BTu@NSNOREPARD\JVNPTFT?vCYTILMLWF[@[GYMUSMOCkBNqAVSLILGXAd@DPLTPNTDrDYPKLSJ_@@YC]KWOMUEs@Ba@H_AHg@J[TGLENAh@FTLRPLRDR?~ASz@ENELKLSH]B[E]OWQMSCaANc@JsAPWLKNIX?\DXHJXPLBlCWd@CLERSLYD]?QEYKUSKOC_@BgBXW@_@HSLOTGX?ZFXLRRLNBrAQjAI\ILINWH[@_@CQO]KIUG}B\eATMHORI\?PBRHTJJRHV?xASbAGLCTMHOHY@[C[KUOOSGw@FiCb@SLILI`@?PF\JTJHRF~BQbAOJMNYF]@]EYGOIKSG_@@_ALkBZMHMTK^?PFVLTJHVDtAE|@Kn@MPOJWFe@A[K[MKOEgADeAHeANQPKVER@`@FRNTTLVDlAMr@Ab@ELGNKN[Fa@@]AKIUMOUG]?m@JoBTIAMDSPKPE`@?NFVJRLJPJl@AlCSLEJGPSJ[BQCc@GQSYUG_@?w@Jg@@cAPSJOREPEZB^JTPRTHT?p@MlBOLERQHOF[?[C[MUSKWCW?aD^QLORGX?\DXLTTNTB\C`Dc@POLYB[?[GWIMSKYCgDb@a@LQZEP@b@HVPRLFJB~AKpAMLCRQHOF]?]E[MSKIWGW@}BT]HMDQPKVEX@XFXNPTHTBr@IrBKNGT]FWB_@C_@IYGIKGOCmE`@KHSZGb@@\DNTXTLVDp@CpBYPEPMNYDW@g@Kc@UM[E_@?a@Fw@Dy@HWHOLOPC\?VFVP\ZTLBR?j@Kb@CxAUPOR]BS?[G_@IUMIWGW?eDZIBWROZCR@\FRNXPNVHN?~C_@\SNWBS@[EYISKKSISAeANqAHe@JOLIPCb@D^JRJLRLVDvBI^G`AE,2,,,,,,
3,2,Morning Run,9980.3,3159,3285,100.6,Run,0.0,6265381398,garmin_push_7827327216,6658729727,2021-11-16T12:00:21Z,2021-11-16T07:00:21Z,(GMT-05:00) America/New_York,-18000.0,"[40.6884085200727, -73.9709885045886]","[40.688424026593566, -73.97080636583269]",,,United States,40.6884085200727,-73.97080636583269,8,5,0,1,0,False,False,False,False,everyone,False,g8965373,False,6658729727,3.159,6.76,86.5,True,165.2,184.0,False,True,44.3,4.1,1,0,False,3171594,1,a6265381398,o}iwFtmnbMADECGBACKFSEW@gBVEFQx@UdBEFSFFV?\ErBIfAA`DGnA@zAChC@f@Af@KfAAr@F`B?t@Gz@IdDDP?`AGlAE|A@TBNAPFFBTGh@Ov@Ah@CJA`@MZEBCNGBI`@C?MVQNMFUEID[`@a@LaAh@O@SJUR_@LmAFcBZSNKTe@f@]HIC]?}@Pi@f@a@VSTiARe@VUTi@JgAd@[FOLCP?JKBAPSd@KhBMl@@VF\GP?Ny@nARP?RPJNVMdAAf@ERHhCADC?EDCRORANBTAVu@Cc@@]F[?]F]ISAg@Fa@PYBeAQKK[BkAIkCCg@HSFQJ]XST{BxD{B|Cc@d@oBpCYd@k@n@]b@_@n@oBnCQNs@`A_@j@k@r@SLELIFBJGPoAjAqAhBeApAeA~Am@n@yDvFeArAYPGRUXYl@e@j@eA|Ac@b@aB~BkBbCiA~AiDpEoAhBsA`BiBnCo@t@c@XQDQ?c@MGMAIDOEIi@c@c@UU_@k@AEEIYBMI?CEGYS[yAeBe@]U]SOCSYWCCa@@k@Oq@_@w@i@GGKC[Qo@O_@Q_@[Wc@o@o@AGCEMCMMqAi@QMUCACHo@Jc@@MFKLs@FMPsAb@aBFiAD[t@gAHeANa@DkATaAJ[FMVUNI^@PJLBNEF_@Zk@v@u@d@]n@o@xAq@b@WjCcAx@U`@QJKXIRO`@KZOf@[xAg@l@c@b@Qp@_@n@k@VMVSj@Yj@OZM\WfBm@XQ`@QjA[TMz@Wf@YlAg@POzAm@XS|CeA^QzAm@lAq@VIlBaAp@WzAy@z@Yr@a@Ta@fCiAn@_@d@QR@XK`@?^Gv@WJc@FKNKRIRUTMBG`@C`@ShA]\Sb@IDG`@Oh@ELFAHYLCEWCcAVWOc@q@Du@AY@SJi@L{BXgCAQDo@CqB@}A@aAF_@?aA@_ADS@}CDuBBGp@Hv@Av@GhBDDGCmABiBDK@WGu@Jw@@oAFU@a@Eg@CuBF{CAu@Fa@Dw@?a@CSHm@ByAAg@Bi@Ig@@mBCaANoAPMLWlAYr@Id@Dj@UPCXKv@I\ILAVHLAhAWxD_@h@SXGn@ChASNBXARELIj@B^Gf@SL?|AY`AEf@IX@BCtAMj@GRGhAMbAGx@QJGJSVFTAz@Sn@CPEd@Eb@K,2,,,,,,
4,2,Morning Run,9769.7,3474,3597,70.4,Run,,6260936496,garmin_push_7822339394,6653983350,2021-11-15T11:58:50Z,2021-11-15T06:58:50Z,(GMT-05:00) America/New_York,-18000.0,"[40.688327215611935, -73.97114491090178]","[40.68873642012477, -73.97090041078627]",,,United States,40.688327215611935,-73.97090041078627,1,5,0,1,0,False,False,False,False,everyone,False,g9467857,False,6653983350,2.812,6.014,84.9,True,148.1,163.0,False,True,51.4,19.8,0,0,False,3171594,1,a6260936496,_}iwFtnnbMB@CEJO?D@IF?Ea@DBDAHJAKJEBKHD^OPC@C@ICYDWIe@A_@JUD]B{@Am@Qu@@MBAzAOjAWz@[JIdAKXIbCCbBOr@M`@AXGrAMn@OrAKp@U~@Od@Wt@Gf@Sf@K`@FZCjB|@HARLnAb@~AXTJz@Rt@JhA^h@HRFNL~@P~@Xf@FZLv@LVNj@Ph@@nBt@n@LNLn@Vf@D|AXLJ\v@NJDAP]NGhACXHZAh@]bBc@fACPLH?hAWrAK^?\JZPn@r@\r@Z`@z@r@hAf@zBhC`@^`@TvAf@lBT^A`@Hx@?pAIn@MvABhARx@^NNf@v@r@v@^^z@b@b@Pr@^pAnAv@bAn@p@fAhB\x@dAnDR^bA~Ar@p@h@Z`@Lv@Dn@GXKn@o@^k@\aANi@Ly@H{AHa@Ro@f@{@f@q@d@e@\u@ZgAZq@t@aAn@k@f@WZG|ADhCXfAEjASd@Ur@k@l@{@`@c@\q@t@a@p@OfAA~Bh@bAJ\?ZE\Qj@q@\[Xc@HUD{@R{@@a@C_@SeAg@}A[i@g@k@k@cAUSs@iAKi@Si@Km@Eo@OcAQaC[oAWeBm@qBYm@u@eAaAeA[[m@][E{Ae@iAOm@Sk@I{@@]Ko@Vk@LMF[^c@^UFqAHaBO]@WJa@b@MFyA`@e@\eAf@eBb@mBt@gAh@}@^c@JcACyBHqAj@_AVm@X_@HeAh@s@TgB`Ai@f@w@bAoAnBi@zAc@bAW`@c@`@_@N[FiAAk@H{Bx@k@?{@Su@]k@_@c@S}@Ik@FYGQFWV[h@O`@MTa@f@]TiAViAJq@PQKuALu@NuBLg@XqAXGDQ\Y[Ug@MQiAc@e@Io@We@Ey@Qg@Wy@YW?IKYOkAc@[BSAg@YaB_@c@Hs@Y{@i@UIKHe@?{@]q@g@c@Bg@Qi@I]YICYFc@EeBe@oAd@k@Dg@AQIGIG@_AM}Ad@u@n@o@Nk@VCIUEMDk@Ai@HeBB{AH{@NKDILKF_BF{@NCEE@oAR}@FHpCCLOHeALcC|@oATa@LGHGx@BXIp@BPN?`AU|@I,2,,,,,,
5,2,Easy Sunday in Philly ,6602.1,2269,2280,25.9,Run,0.0,6256778448,garmin_push_7817697330,6649501645,2021-11-14T12:30:23Z,2021-11-14T07:30:23Z,(GMT-05:00) America/New_York,-18000.0,"[39.951957408338785, -75.14698485843837]","[39.95153387077153, -75.14708451926708]",,,United States,39.951957408338785,-75.14708451926708,0,6,0,1,0,False,False,False,False,everyone,False,g9467857,False,6649501645,2.91,5.404,83.6,True,153.1,176.0,False,True,15.0,1.9,0,0,False,3171594,1,a6256778448,ubzrFtctiMH@?HDADD@Ax@JV?V?P@VOV?b@JZTLBNATeAB[AIBONW@WLw@@OCO@SEO?MFYCYFy@AABQCCHKAGFMAYDMCO@a@Dm@@[Fa@?_@AO@QGICUDkCAs@XoED_APyCDc@AWFCV?D?@F]CAABEJ@NADBCFUACER@FAKKK?S?KJWdAH?FFCZGRCDKBy@Mc@AcAGeAWq@Es@Mg@E_@IUKy@S]GiAK[IUSESBWVu@Fa@De@LqC@g@Eo@EIOGA@?xACX?bAI~A?p@C^EPGH[@{@O@@MAO@m@ISB]Ia@DMCa@USFKGc@Ae@SMCYMYW}@YAG_AWm@I_@MmAw@}@g@gBaAc@QeCm@YKsBc@gCa@eAe@}Ag@}@USIiDgEYc@gCmCsBqCo@cAOKGBGNBHv@d@\L^Zf@p@VTf@p@l@n@\V\d@rAnALTXXx@dAPXXVhJtCh@J\HHD|@RZBhATxAh@lCzAn@b@j@VRF|AR~@R~Bv@`Cp@RNj@HRCL?hAXb@FFBZHjATt@\b@Jv@P`@@r@H|AZj@RXDLHt@NHKJAx@FFAHOJm@FOLQVQDSWICK?QLyAHSLC`Fh@fCb@R?t@NjAJpB^LFFPEMGEg@IwCYcC[}@SmBOcC_@K@GFAJEt@IbA\Da@IH@RI@BI@SAHHVDa@?ED@NAn@s@tLAlC@b@Hl@Kt@UvDE|A@b@BDs@bGA\Dz@KJ]Ie@FmAEW?]EUW,2,,,,,,
6,2,Friday night endurance ,12758.2,4410,4749,117.3,Run,0.0,6249249996,garmin_push_7809539514,6641454134,2021-11-12T22:00:12Z,2021-11-12T17:00:12Z,(GMT-05:00) America/New_York,-18000.0,"[40.68849166855216, -73.97088079713285]","[40.68776889704168, -73.97096293978393]",,,United States,40.68849166855216,-73.97096293978393,4,8,0,1,0,False,False,False,False,everyone,False,g9467857,False,6641454134,2.893,11.482,83.0,True,155.7,174.0,False,True,48.7,3.7,0,0,False,3171594,1,a6249249996,a~iwF`mnbMGA_@^SJIECFCKE?EFkANQJEVE~ASdADhBIb@@R[h@@hAFdAE`AD|DIfAKxBJhABvAO~AAbEOn@?rCQXCRZj@Ab@HVJTJH?NRZL\CH?HYVMXDLG?BBEJBHHBoAbAqAp@OF?QUAw@NsAnA{AhAWASJc@^q@rAm@Re@?MJe@BOJi@HGFSYE@@UKf@cBbAiB^]Ic@@KHBf@EJBk@{@R}@FaAbA?^CZF`A?GMLG^YJSj@QJGTEAh@d@Bp@GHMB@PVj@Cf@RXCVY^GZVVLh@Ab@KNQJMVJF?JJNa@HTx@ALE@OMcA`@}@JgAFkASWOgC?a@Sm@AoAJu@Z_@d@gAjBsHfJc@v@iBfCaCjCm@fA_AnAyAxAIXeCbDaA|Aa@b@yCjEWTuDbFg@ZgB~C}BzCOZaAfAYj@wBpCmApBsAnB}@dAU\c@~@y@p@_@j@GEKDqAfBgAz@K@_Ag@Eq@_Am@_@c@YOo@gACi@WSWa@gA}@q@Iy@[cAi@uAaA]IqBiAc@a@w@cAGSOGe@g@qAy@@[Je@CQH]CcAOy@Ds@fA{BLaAf@iAd@yAVwATy@Oa@h@aBTa@`@M@oAXq@Py@Xu@D[\_@@eAN}@Bi@Fe@Vm@IMMIwHsCgBiA_Cq@k@a@_Cw@GKASN{@SsA@QEQD[Uk@?QOGV}@f@}@\kBVk@h@eCBUf@eABoAPw@PyARo@VY\u@n@qCb@qAt@oDZeAlAmFp@}Dd@cB`AqFNc@TuA|@_Dd@aCr@uERo@~@qFl@gCd@oC^wArAeHz@gDt@cEjB{G^o@^aAbA{Et@{EDw@\_ANs@[c@OLKC_@L_@Tg@x@a@zBEv@YzAMjAQ~@GbAMn@EdAS|AGJ@LfAt@XHPAXVTFlCNrBf@fBCp@Vt@NDFZa@vAUv@KTAZZHENDf@Yz@Pt@[p@DbAIzGeBfB{@hBe@z@sAt@uAVaANQBY~@uAd@c@Pe@hBaDr@o@n@_@tBwCd@[l@aAj@o@`@O~BIrDxAlCd@n@vF\zANlBIvBBbAD^YtEKnIGxHGnBKX@p@H\E^@t@FjAdBj@VKrAFNG`BMd@OTULEpCIjFe@n@WdAGNO`@QvC?zB_@p@YbB?dCe@tBOn@Oz@@f@IfDKtAU,2,,,,,,
7,2,Recovery,6155.4,2306,2445,43.6,Run,0.0,6242906333,garmin_push_7802353462,6634693971,2021-11-11T11:56:35Z,2021-11-11T06:56:35Z,(GMT-05:00) America/New_York,-18000.0,"[40.68834062665701, -73.97103007882833]","[40.687761437147856, -73.97089253179729]",,,United States,40.68834062665701,-73.97089253179729,0,4,0,1,0,False,False,False,False,everyone,False,g8965373,False,6634693971,2.669,6.058,84.2,True,150.7,171.0,False,True,26.6,5.8,0,0,False,3171594,1,a6242906333,c}iwF|mnbMDQCBEAEHuAZ_@Fm@PO@EFCNMTEVIdACn@@LAp@Op@@TFLANGNQXCb@@xBItAAjCUfD?ZCTE~@VzBEd@@|ACj@Kt@?~AG`AB|ACt@GRA\KPE`@Mb@Df@Tr@BRIb@V\CZ?fAGPG`@@R?NFr@Ox@@hBA^Gh@ERUf@WjAw@nBBJQZAXMNOj@k@Bg@HAHWJADAXSLLh@TJFHBL?DGTq@dB]fBk@fBSx@Uh@IN[lA[t@IL}@l@q@Ri@^YHWTCFGb@k@vAE^Up@a@h@Ct@ENKRANi@TCDFPb@`@BL?LGNG`@A^I`@CX[hAIl@Sr@u@`De@`CGPa@jBOd@o@bEAb@Sh@Ib@KTKFYEWGq@_@QAg@]m@Q}@_@q@QiA]kAg@YIyCmA]Ia@Om@_@GI@UHY?GIUAG@C\OV@LBpAf@FGN_@Ni@RgBJg@Ju@J_@DUP]J[Dk@FMD[V{@DcBJu@JWCQBQ\_A?WZILKn@WVC`@SHITe@HGHCt@DLGDIB]BkDA_AIe@?_@F[TYJEr@MBiAEi@IQICCS?ILi@@c@MaA@MCABCA?Lo@?SBOC@ACu@q@EKBSLKVs@@k@DYE{@BQHIDQJKJc@Fu@@w@?m@?EL?@CIKEy@EOCi@Kk@?cAC[W_AASFu@?m@B_@NKNENa@@EEi@Wq@Cu@Jc@FKPSJIHATAf@KXAPEjBQl@Yx@{@\a@Vc@l@_@DS@]?w@Cu@Tu@Cu@DaCBw@@uCDg@BINQDQ@Q?kBFiEDQFKRIZA|@QlAK\Gv@S@CLe@BUCwADmADo@@w@Ac@DQd@Kf@QNChAWZEH@bBM|BY`@?v@KP@d@Il@?t@Mv@Kh@K,2,,,,,,
8,2,Track workout with Bryan,10120.6,2911,3141,0.0,Run,0.0,6240896496,garmin_push_7800059512,6632544214,2021-11-10T22:45:03Z,2021-11-10T17:45:03Z,(GMT-05:00) America/New_York,-18000.0,"[40.72040014900267, -73.95172286778688]","[40.720532247796655, -73.95186519250274]",,,United States,40.72040014900267,-73.95186519250274,24,7,0,5,0,False,False,False,False,everyone,False,g9386199,False,6632544214,3.477,6.132,83.9,True,180.6,200.0,False,True,4.3,4.3,10,0,False,3171594,1,a6240896496,oepwFhujbMFGGTPMNFJ?NM?D`@GpA_@VMXWNYLe@?]Si@[Q[RUZe@R]H_AHIMa@HQJQVKb@@^J\NNXFz@CpBSRKLMJQF[Ak@Mc@MMOC}Cl@[B]NILIRA\BTDNRRRDL@bCUj@MNIXWJi@Gi@W_@IGWEaC`@o@D]NMPCJCRA\J^b@p@ALLYVK~BUZGTINKJQDg@E[MYOQWG{B^q@FWJMJMXCh@FXHLRPTDjBSnASTQHOJe@AQESMWSOOEW@g@JmBV]JKJMTCZ@ZHXJLRJLBhBMp@IVGRMPUH]?]ESOYSOMEQ@_ALsBd@QNKTCZBXN\JHTHL@lAI~AYLMR[FY?[K_@EKQOQCyC`@g@LKJMTEX@XFZHLLJTDdD_@TGRQLYFe@?SKWIMUKOCUBwAV]Bu@RQPENGZ@ZBNLTRNTBdCWn@KTSLYBSAi@IQOUMIOC{Dn@SNORCNAZHZLVJJTD~BUx@MTYLYD[?UIUS[QMIAqANsB^KLGPEl@FZRf@F\BB^YTIfAOn@C^MLMLWF]@SCSOYKKWIYBuCf@UHWVCFEP?\FXHNRNTDhBQjAQTOHOHYB]E]GOSQUGYBo@N}AR_@LWVENCRDZDNNRTLVBfBWf@C`@KLKPYDU@g@EQMSQOOCcC^u@DSDOPIRE^?RDTLRLHRDX?fC[d@MLKJWD[?]IWGMMKKCW@mAXyALMDSNIVEZBPDPLTRJTBfDYNERSLYB[?]EOIOSOOCiAJmB\ODMHMTER@\H\JNVNN@rBWr@CTIPWJ]@]AYKSOOMGQAuBTy@LMDSPIPEX@XBPNVNJVD~CW\KLMLYD]Ce@EOKMSMOAqDZYJKJKRCZB\DPLTPNPFbBMhAOPGTSHWFYA_@IYEGQOOE{BRgAROHOTGZA\BRJVLLTFP?`BOpAWLKNWDQB[E[M[OMKC_@@m@H_@@eALYHURKXCX@TFVNRRLTBjBMv@KTIRQHQD[@_@EQKYSMMEO@eDf@UFKJO\CN?ZHZHLRLRFbCSt@OPOP]Hg@AUGWOSYKe@B}Ch@OHSZENATD\JVTNP@V?bAIdBYRSFQFSAs@CSIMYQIAg@Dm@JK@KEm@Fi@JOFMLOZAV@\FZNRNHPDbDQb@KNKP]DU?_@E[GOWQSEe@@_ANiAF_@JOPIXCd@Jd@R\L`@XUNEbAQpAMRGNKLUFa@AQQm@OOOCg@BkANiADYL_@t@ATBRJVNRLF\B|CWTEPMP[F[?e@EWKUQMUAq@Hk@N_AJg@NQLEHINCXBXFP`@t@,2,,,,,,
9,2,Tempo,9942.7,3203,3323,101.3,Run,0.0,6233556473,garmin_push_7791843723,6624757312,2021-11-09T12:04:53Z,2021-11-09T07:04:53Z,(GMT-05:00) America/New_York,-18000.0,"[40.68841212429106, -73.97105564363301]","[40.688148848712444, -73.97078901529312]",,,United States,40.68841212429106,-73.97078901529312,6,4,0,1,0,False,False,False,False,everyone,False,g9467857,False,6624757312,3.104,8.076,84.8,True,169.0,188.0,False,True,44.3,4.1,1,0,False,3171594,1,a6233556473,q}iwFbnnbMIFk@Hg@Ni@?i@JGDET?n@Gh@?`AEN@REZBNSp@BRY`AUbEB|BCnAE^EdBId@Ad@Ih@Fz@AjABXIjB?nAE\BXCx@Bb@E`ACNI|@Mh@?XDb@?NEVEFCJBDGZ?RH`@CPM^QRE?MJM?CFMpAM`@GJOBg@PMHMNoA^QAMPELKFsARe@B]b@OHGL_@ZWJc@FGNGDMNi@PO@QVEAu@TUCQB}@^I?i@VWFc@Va@\G@ECMDCFARGK_BBCR?~@Dd@A~@B\Cf@GXBPEV?ZBFARBRHTABy@VQ^Ch@?ZMl@@~CGl@GHOB{@KkBJk@JgDG}AIsA@kAR]P[V_@f@gBjDi@z@y@bA}AzBg@j@o@bAy@`AyEnGeAhAMTa@b@]TEF?Jg@n@a@r@mA~Ai@l@c@t@}DnFGNk@r@sApBWb@GF_@NW^Q^m@r@w@jAUTaClDuEdGwBdDw@|@u@jAcCxCmAbBk@j@UF]@UGUOAGBG?_@eAw@q@q@GK_@KAISAGICSg@oAuAwAg@_@qAw@WA]K_Am@g@GOIq@k@_Ae@Y[SKIOMIk@MGGUO[_@_As@Bs@Hs@AMDi@b@gAV_AF]Tw@Ls@Be@x@oCN_@R_@`@}AVq@JSXOTH^FBGDYPWdAkA`@o@j@k@tCoAl@c@bBu@b@ILIb@Ef@QVSRGJIf@I`A[l@_@l@Yj@OfB}@LIJSNCh@[n@UPQfA[dAa@f@[l@SXStAg@|@i@`Bk@x@c@r@QbBw@rAa@rAs@d@]b@OHIh@Wj@Kt@Wd@]h@UBGPKJC^[fBy@d@]`@Sp@e@b@UPOb@MZB`@OhAMh@QPYD?\Sb@o@RIj@KNUJGDINAv@Sl@E^Yl@SZAHBBHUD_AAUJo@DIAIEEMC_AE]LeCVwD?YBGDk@CsC@oAJyE@cCDwCJe@FKHEl@A^JNNZLLCDKhA?POL_@DsAVsAS[CI?]FwAC[?YHm@HIIkAA}BJ_FJmBCe@Dc@?c@EiAHyC?}@@i@Ju@bAGPItASb@MrBQn@Qd@@hBQhAS`@E|Aa@X@`@EVMp@Mh@BjBAvA[bBO|Ac@dBK|A]^Bj@Kn@CZKh@?HGBSAAVJNQ~AY`AAVG|@K,2,,,,,,
