,resource_state,name,distance,moving_time,elapsed_time,total_elevation_gain,type,workout_type,id,external_id,upload_id,start_date,start_date_local,timezone,utc_offset,start_latlng,end_latlng,location_city,location_state,location_country,start_latitude,start_longitude,achievement_count,kudos_count,comment_count,athlete_count,photo_count,trainer,commute,manual,private,visibility,flagged,gear_id,from_accepted_tag,upload_id_str,average_speed,max_speed,average_cadence,has_heartrate,average_heartrate,max_heartrate,heartrate_opt_out,display_hide_heartrate_option,elev_high,elev_low,pr_count,total_photo_count,has_kudoed,athlete.id,athlete.resource_state,map.id,map.summary_polyline,map.resource_state,average_watts,kilojoules,device_watts,average_temp,weighted_average_watts,max_watts
0,2,Hill sprints,9851.7,3621,3869,173.7,Run,0,6071933424,garmin_push_7612081695,6452883238,2021-10-06T11:15:47Z,2021-10-06T07:15:47Z,(GMT-05:00) America/New_York,-14400,"[40.688455, -73.97087]","[40.688004, -73.970824]",,,United States,40.688455,-73.970824,6,5,0,1,0,FALSE,FALSE,FALSE,FALSE,everyone,FALSE,g8965373,FALSE,6452883238,2.721,7.4,80.7,TRUE,161.5,193,FALSE,TRUE,26.4,3.8,1,0,FALSE,3171594,1,a6071933424,y}iwF~lnbMLTwATcBLOLMhBCpCQnAYn@At@Bb@KnEQ`M@bBEb@A`C@|AGhBBjCCRDV?^GXMJH`@\V@Z]t@q@\QZET[h@WT_@DEFc@C]^u@HSRc@l@u@?YNu@JaAGYFURAPUNSbA}@dAAPGHi@FcAIH@?E[\UL_B^]I_@\[F}A_@m@??LMBC`AM|@NXDZ?tADx@E\IJ@^G@Eh@FZYRATMRALJz@R\?t@Bj@HZCX@f@CLYLGNLf@Bp@SIUFCMG@?vEQz@ElA@`AHd@?j@k@^g@CIDUn@DNMFS^Kf@MVA|@EL@FOLMXUhBMP?JO`@WdAM\SV@NQn@Ax@Qj@QtAGjAYV_ACk@S[_@a@Uq@KBEGAg@DwCgAoCqA}Ak@sAiAGAKL}AYDIlBn@n@\|DjALF@HsAc@cAUoAy@SEO]uAGKI@E`Bn@r@Hf@P`@\rAb@t@`@gAa@}A]{@q@O?SGGIGFe@Es@UCKDGdCn@lBz@lBl@HD@JKBu@Wo@c@y@So@c@QAOQMEKJG@[Qu@ICI@EF?vAd@`@DjBx@rBn@NHDJwBu@m@My@a@QAY_@g@G_@Me@AGKJCjCr@`CdApAZRJ@HEDa@M]WcBm@_Ag@K?KKAQk@Pk@[_@BCGFElBp@TAfAZh@VfA^t@f@M?c@Om@a@YAgAc@c@a@WEGYOJg@KMBGE]AIOFEdCn@~@Zr@`@vA^d@VBJq@O{@c@OB}@]uAu@OPS@q@e@SAMIBIlBh@vAPv@h@zAb@^X|BbAfA^TAPMLPj@Fj@VNMp@uAPw@@Yf@eAK[r@kCBWTe@PiA?q@Ec@LKHSh@iCJYHIvAKTo@LMrASPIBO^}EHwA@_AJQl@AM[Fo@?a@Lu@KEBGCGYa@Dk@Sq@AUGCWg@Be@Qs@D[KSDc@JIH_@PWAi@Xe@Hs@GSRs@?a@DKQIAOM]GyAQeAOm@V{B@[PIJk@G[g@u@I_@b@e@^YJq@Ig@@[h@sAlAKx@WbAMxAk@^WnAwA\WF]?uANMFYOoAB{BVkOEwAHmA`@[~@UvCMh@GLIHUBg@PiA?y@J}BAu@HQbGoAf@?jB[hAGdAWhADv@KTST?,2,,,,,,
1,2,Morning Run,9726.4,3368,3447,70.7,Run,,6066894826,garmin_push_7606550616,6447561720,2021-10-05T11:18:54Z,2021-10-05T07:18:54Z,(GMT-05:00) America/New_York,-14400,"[40.688476, -73.97107]","[40.688692, -73.970921]",,,United States,40.688476,-73.970921,0,4,0,1,0,FALSE,FALSE,FALSE,FALSE,everyone,FALSE,g8965373,FALSE,6447561720,2.888,6.7,83,TRUE,159,172,FALSE,TRUE,51.3,19.8,0,0,FALSE,3171594,1,a6066894826,}}iwFdnnbMDINMZC^Bh@QDKHaACQ?q@Ba@?q@Cm@CMAQG[GMBIJOLItASfCULGBOBCXKRCDCd@@z@CvAWb@?ZGv@Gv@MbAIp@Sj@AvA[d@WVIVUVORG^NV@NCHIl@KRB`@CNDpBv@n@\p@@HCTDV@b@XbAXVNt@BPFVTfARj@DzBp@t@N|Ab@v@XH@TAd@PL?LHtAb@TBdAZFARDx@\`@JJHLVHDF?JE\NZANDVC|@FLCRMp@OPIv@Ij@MbEa@p@@f@Nf@^n@pA\b@ZXpChBxAdB^XvAp@h@PhC\jA?~BUfBAj@H|@\XPj@d@r@dAh@f@^VfB`AtCtBNR`@n@h@r@Tt@`@|@Jb@F^PXf@xATf@RL`@`@h@r@dAt@LH`@Jd@Bj@GVKZ[T_@b@{APkATu@DeAPm@^sBHQLS^[NQp@UJQf@oATg@LIHM~@w@r@_@ZGx@BzCTnAA`@Gd@Mr@W\Ur@y@x@gAZg@VQn@W~@Gb@B`B`@t@L`ABd@Gh@]Ze@l@i@P]RoAFQLiACm@a@wAc@eAcAyA[i@[q@]g@y@yBEQCy@Ii@IY?[MqAo@sCM{@u@_Cq@mA_@c@mAkAy@e@i@Oq@Wk@Ky@CcASe@A]Bi@GSBe@Nk@Hs@p@{@ZeAAuAO]FUJ[`@IDq@Ng@VY@k@b@qAn@{Ad@k@VcEzA[D_AD_A?a@Bq@LqCjA_@Ty@\kC`A{@j@MLcAvA_@`@Yd@Yl@i@bBQ\a@h@_@^SLk@NeBAa@NOL]Pc@Nm@Bm@G[MsBkAs@Qs@?k@Lg@VYJMRQn@MVYZYLuBb@yBXa@Bs@L}AHm@AO@o@\oARw@I[[c@QaCk@KASKu@QSM]Ms@G[GUMcAWe@SW?OEq@U_Aa@QO_@Ji@W{@O]c@OCYFSCi@O}@c@MDo@CMEYCi@YSQK?_@EgBg@k@PaAN_@EWI]@AMAAc@AOFOA_@PKAo@Ba@TW`@IF[L}@PIDyAHs@?iBNgC`@EBEHIDq@?_@Fq@BUAi@LcBRCF?JHbABp@ANGJGBm@Bk@Nc@HgAZiALs@N?lAE`@B|@z@Cv@[VD,2,,,,,,
2,2,Finishing off the week,6396.7,1998,2119,40.9,Run,0,6059611251,garmin_push_7598252946,6439890554,2021-10-03T18:59:20Z,2021-10-03T14:59:20Z,(GMT-05:00) America/New_York,-14400,"[40.687995, -73.971535]","[40.688623, -73.971047]",,,United States,40.687995,-73.971047,0,4,0,1,0,FALSE,FALSE,FALSE,FALSE,everyone,FALSE,g8965373,FALSE,6439890554,3.202,11.7,82.3,TRUE,158.3,176,FALSE,TRUE,26.4,5.8,0,0,FALSE,3171594,1,a6059611251,}ziwFbqnbMNWFH@V?O{@GM@]DKPOFq@HWJILC`@?xAAJGFGTAd@Hj@EF?XFf@AFORERAf@FTGb@Jh@H?HIz@VADYHGTBp@Lb@?PGLAJSF@FQPARR^GNGFCXIRAf@ADQPCL@p@C\Lj@@b@ENYXUj@BV?LGLC\?PC^?b@BNC`@Ff@C^?|@VhAKb@Bf@DNJHN@FHH@NN?BGFc@Ra@\EN]r@O^F\CTC?@DGAD`BBFPIB@AVEPTKHa@FIVK?J]vB?X@XFKD?q@rAMl@BbCMxBOf@MNGGE@CDUEId@[LIP[VL`@QPOGBPMJCN?PCDE`@@FOVk@l@_@TUTAFEH?ZXAT@E?KGAr@EVWVGTOPYT_@|@Y`@_@`AIh@MRShAUb@CTMPIDyAf@Sn@QT?`@GRSGm@_@CAIDSPELSVQj@QLUJk@l@M@?`BAFBTHT@NCLBNi@b@@^BDFN?JIz@D\Kp@C`@GNKt@QZId@EJk@xCWz@SvAA\INQh@_@vAGl@An@@RK\UrAWp@IFQA_@Q[G_CgAyAe@g@WcAYgAe@k@OUU[Ic@Wc@IQGm@_@]M]WESBa@GKEQHITIDODCN?BHCFHLJEJ@Xg@ZSBMHQZg@HOJc@LQJYRaABGBALm@RYF[PUBSEGBC@MTo@AKKOHoAD_@BGDWBSZqAN]HIvADD?TMVEBYLa@FCT?LEFGDS?UHg@Fy@Vy@HQ@Q?c@G{@?m@F_@FCD@OAKBGQAQ?CRIDY@k@HWCSNKDIFWF{@Je@@c@JmABg@Ca@JSWO@I{@I}CeA|@I`@Q`AK\UHONm@\cDQg@?KKU@EEGAo@_@c@G[BKCK^w@Lm@PeB?[BQCQJsAI{@?UM{@?OFo@N_@NGz@Ob@K`@Cp@Mj@GXK\S^_@RWN_@Z[ZWPy@HkAHO?IDSB]?_@Xo@B[@oAHu@CkAFy@B{AAcBCeA@s@Ae@FeCHId@IjAIbAQhAWf@GDQ?O?]@]CcBHmBCi@BSRALMl@GtBm@|@Q`@Ch@@|AKl@BXGv@An@I,2,,,,,,
3,2,Long one for the week ,13101.6,4398,4451,117.2,Run,0,6052589433,garmin_push_7590601851,6432491313,2021-10-02T13:01:36Z,2021-10-02T09:01:36Z,(GMT-05:00) America/New_York,-14400,"[40.688492, -73.970872]","[40.687712, -73.970741]",,,United States,40.688492,-73.970741,16,9,0,1,0,FALSE,FALSE,FALSE,FALSE,everyone,FALSE,g8965373,FALSE,6432491313,2.979,10.9,82.6,TRUE,165.2,185,FALSE,TRUE,48.7,4,1,0,FALSE,3171594,1,a6052589433,a~iwF~lnbM_Ab@eAR}BR[M{Fh@UDKL_Ex@kABu@LWPWIy@Nw@@oBZa@?wBZw@TuALuAMcB`@gCNOHm@BWPMCQi@DgCGsBNcC@gAGIRs@Dq@CSFqAGc@?gCGe@?oCV}BG[?qAJk@Bo@CiAOu@CcAWaAIuEKi@E}@KEsAG_Ce@oAa@cCXc@^i@r@kFpHyClCw@x@D^ET{AbBmA`BWNIPAZc@l@qDpAoCn@sE`BiB@]LGOg@Fg@SyCQeCv@cAA]Pa@EyBHw@SJ{Ap@}BP_Be@w@c@QKYKEo@JQKGYNw@Zu@VeABo@ZkBCU^{@N}A?Je@r@EdAcBnGc@hAc@|BQ^e@n@UnB]bA]zAErAq@hA?\GNOjAc@hBOnAa@rAQrAm@vCg@dB]hCWt@M|@a@x@IlBKn@AfAm@nBc@~B_ApCe@dCa@`Am@|BsErTIn@yCtL[pBp@d@~Ah@^VVKr@JhAGtA`@f@XBz@iBlCk@lAg@bCW`@Gx@TVZFr@l@z@Rz@h@bAR|@jA^RJj@@n@[nBo@pAf@XRd@h@VNVNlBFT@b@ETCdBJ^Bb@KJG`@N|A_@hAAZHz@Gd@XvAc@j@IbAJbAtA\`@n@CHFLj@RQn@XbA?j@Mt@}@bB?b@O`@iAfCOp@Kr@SRYh@ANDRa@p@Sr@Kz@D?CLz@Ar@Zd@l@XIHLQV@BWn@a@f@BIxA]Cz@p@Ux@Ld@z@PJDPx@\p@l@LRG`@JTp@C^S|EyFdAiBPc@TKb@g@p@_At@yAr@o@tD}EN[dAqApDcFFa@p@o@fPyTt@s@tAuBfEqFxCqEfDiEdAkCZM|@{Af@m@n@i@rAY|CH`FCp@GnADl@LFGDgACWO[BMLEJ]EcABg@bAKNMz@FbAE~@K@a@_@wAEeAFKRCh@Ht@ETIXa@XKFe@Ck@J{@@_BDWPSLg@BWGOTw@MGLWc@Qj@QfACJGLYPeAKkAIQHu@r@Gv@RXPKARJE?HWNIrBWXUTAPXXN`@Cf@QRKLWzAo@RHf@?^TT@EqARU@{@?mCGiAB[a@uC?uBLcCIeBH{CFMFeACsEFw@Py@FsACoBEK@sDLu@FcBAaANI|@B~@OXM|Gk@~Bk@rAIJK?Me@CkBd@}CZ,2,,,,,,
4,2,Weeknight LES check-in,10183.4,3455,3609,101.7,Run,0,6044978615,garmin_push_7582177166,6424506404,2021-09-30T21:41:36Z,2021-09-30T17:41:36Z,(GMT-05:00) America/New_York,-14400,"[40.688448, -73.970685]","[40.68785, -73.970934]",,,United States,40.688448,-73.970934,4,3,0,1,0,FALSE,FALSE,FALSE,FALSE,everyone,FALSE,g8965373,FALSE,6424506404,2.947,10.3,81.3,TRUE,158.7,174,FALSE,TRUE,44.3,4.1,0,0,FALSE,3171594,1,a6044978615,w}iwFxknbMAEC?@A@RGRGLk@TmBNKFEN@b@G^CvBETMNFn@Ez@@|BE`@@^ALWb@KpBAnABj@Ct@?pBBnADZEnAQ|AB|DALKNA~@IJ@p@Ct@DfAHdA?\Gb@D\?PBHCL?LKT[ZAFHd@D@IBHMg@`@i@JUwBWyAQOUVKGGTAZ@tEQZMLQJBISQUTSHIJQHBEK@ULAEC?EM@CE?MJW@QKMJK@m@d@a@H{@Kg@D]N?HGLWJYRFl@DH@NIRQRUFo@BKGAGk@Ko@B]LOp@_@FEG[HWTYJGNWPMMEBGEABBVCr@]tACf@Kj@Af@Eh@@DKpAO^c@^BZTj@DT?HMVDZGl@Hf@N\@VCRKHSZ?FLPGJ?PD\ONgBBa@GOIGKC?GEC@AIQAUFg@h@UBkCIk@@aDYi@Hq@XWRe@n@qBnDoAfBe@v@oAbBa@\uDfFk@|@yAfB_@p@gApASRQHG`@OV_AdAaAtAy@~@cHxJw@~@s@bA[HE`@Sb@aBxBcAhAcAxAQN[f@QNqApBw@`Ag@x@}BxCaAxAi@r@c@b@uC`Eo@p@]Va@BYGMIAE@]u@m@U[Q_@Qs@WOw@?QOYMMe@?KKWe@u@]SOWOMOWaA]eAC[_@k@g@]KaB}@q@YeASSSFYCEi@a@Y]YSCIUGKO?m@Z_@FYGY?WDcAEQ@c@j@mAZkBLWLg@RaAd@}APa@ZoAV_@TE`@RXEBCFc@HOp@UrCoCnAe@vCuA~Am@\GVQ`@MbBaAxAm@z@o@b@U\KfAm@PETYnBoA~Ak@nAu@lAa@^CnEsAJKPEb@e@nA[ZUdAc@dAu@v@UzAYFIz@a@LUjAg@hAy@~Ag@p@a@j@O\Y`@KZQrBy@rAq@v@It@w@fAQ^WfAYr@{@p@e@RGfAIXDHJOF_@?KEW@OTa@mA]s@E]Da@Ai@D_BLuA?_@EMBq@EeHFeBCiAFwBCm@?wABMLORIz@Ar@TPALBDGf@Kt@@FGHkBDU@y@E{A@_AAqAD_BC{@LwBDaEL{ABu@EqA@qACy@F{@CS@cAA[@_@DOdAKr@UrC]VI`@ETIr@?r@MdAGfDq@b@CZKRA~@UdAAb@Mn@@vBYl@Ob@APBhCIjDm@jAGf@MvAO~CQdDk@,2,,,,,,
5,2,Morning Run,8961.5,2728,2770,0,Run,0,6037723576,garmin_push_7574181515,6416900685,2021-09-29T12:10:59Z,2021-09-29T08:10:59Z,(GMT-05:00) America/New_York,-14400,"[40.720619, -73.951786]","[40.719274, -73.951674]",,,United States,40.720619,-73.951674,22,3,0,2,0,FALSE,FALSE,FALSE,FALSE,everyone,FALSE,g8965373,FALSE,6416900685,3.285,4.7,81.1,TRUE,172.4,196,FALSE,TRUE,4.7,4.3,7,0,FALSE,3171594,1,a6037723576,yfpwFtujbMHAJDJCFDDGX?HCB@@EF@d@KrAKPMR[Hc@@YQm@a@i@Bq@Em@BOFQHEBw@Tm@BQCCFBFCBBHb@LlA@VC^Id@QNc@PSTWLiANuAFWHMJINKh@@XF^TZVLL@`@ChC[PIJKL[DS@y@CSGMQKSE[@oDZKFSRK\AXDf@HVLNVN^@|C[LEX[JUF]?WEUISUQWGs@Bm@H_@?y@JWNOXGTCXD^FTRVPFX?bC[j@KRONUD]?]EQMUQOMEO?eAJwAPUDQNOVEZAPDZFNXTRFzDc@PMNWD[?SEYGQOQUIU?eCVk@JMJMTEPCZBZJVPPTHL@XGX?xAKd@KNKLQHYBYCYK]MQWMQAQ@a@F_CTOJMRGVA^B^LXNNVH|BYz@MPOLUDQB[CYKWOQSEO?aBNqAPQNILIXCZFZJVPPTFTA`Da@RKHMH[B]EYIWWWMCU?mCZ]FKHORGZA\BRJVPRRHT@f@EZGrAMRERMJSH]@WCWK[MQSKQ?oALaBRKDONMXEP?^Nh@RRPHR?lBYl@ALCRMPSF[?_@E]IQQQUIU?m@FgBXUFKHMVEPC\@RJVPRTHV?zASz@ELEPKNWDQ@_@CYMWOQUGq@D_CVMDKFOTGZ?ZD\NTPLVDZ?l@EjB[PKLUFU?_@EUM_@SQKC[AsCXUFOJOXI\?VF^LRRPXFrDe@RKHOHY@_@CSGWQQUGUAyBNq@LMFOTENGb@DXJXPPTHxCUj@MPQJUD]AQI[OWSKMCU?oAP{@F[HQLGNIZ@\FZJNRPNBv@Ax@Kp@E\INMJSFW?_@C[Oa@KIQCQ?y@FaBP]FQPITGZAX@JBHPXPLPFdD[\IRSFQF_@AUESMYUOWEO?gAPaAJ_@JKJMXGZ?RH^NTNJTDR?RDNAv@Mz@ILENMJSFWBYE_@OYSQMEKAi@FkCZSLOVEX@ZDRNVRPLDN?|C]ZILSJ]?_@E]GOQSo@SiAPeAJ]JUZI\@`@H`@LTJHFBX@rCWRELGNQLYBUA]I[IMSMSCeD\SFMHMTCZAZHZHNRNTD^BnAQr@E\ONSFUBc@AWESOUIISEmD\[JKHQ\CZB\FPNTRJN@fD[ZKJKJ[@_@E]EQOUSMSC_D\[JQTK`@?^FX\f@^HtAGv@AlAK,2,,,,,,
6,2,Morning Activity,933.8,2080,2080,0,WeightTraining,,6037088704,garmin_push_7573468663,6416236783,2021-09-28T15:41:07Z,2021-09-28T10:41:07Z,(GMT-06:00) America/Chicago,-18000,[],[],,,United States,,,0,0,0,1,0,TRUE,FALSE,FALSE,FALSE,everyone,FALSE,,FALSE,6416236783,0.449,2,59.7,TRUE,102.6,117,FALSE,TRUE,,,0,0,FALSE,3171594,1,a6037088704,,2,,,,,,
7,2,Recovery pace,9794.6,3578,3761,73.3,Run,0,6027311350,garmin_push_7562674847,6406010287,2021-09-27T11:52:53Z,2021-09-27T07:52:53Z,(GMT-05:00) America/New_York,-14400,"[40.688596, -73.971124]","[40.687743, -73.970829]",,,United States,40.688596,-73.970829,2,5,0,1,0,FALSE,FALSE,FALSE,FALSE,everyone,FALSE,g8965373,FALSE,6406010287,2.737,6,81.1,TRUE,154.3,169,FALSE,TRUE,51.3,19.8,0,0,FALSE,3171594,1,a6027311350,u~iwFpnnbMJ@?HRUJNHCTS\QTQ^KPWDS@SGs@?g@CKA]?]Ds@Go@Es@FGf@EjAQTIb@IHI`@MZ@b@O`BGfAOVKp@Gn@Mb@Ef@@z@I\?PElBCl@OVMlAYX]P?JDPEN@TOdAEREPKH@pCjAN@VCRJV@TRv@Vp@JXL~@RrDv@b@X`@N|@Tt@\V@\Hn@NLJl@JJFp@N~@DRJx@RH@HEJJ\NPLj@PJJ\d@H?HG\NjAG^FR?LC\St@WfBWh@Yh@@~@EVBd@Id@Dn@Tt@j@FHLd@LVb@d@~@h@`@PzAbApBvB|@h@^N\LlAR~AHXAtC[vAAv@Jh@V\VlBrBXT~Az@VTfAp@d@b@lCbDz@jBNl@BVXb@h@|ANZTPdArAPLj@Z\Td@L^Bv@MNKV[`@y@\eAJu@VgAJmA^oBRo@Ze@f@[XGTSR[Jc@h@iAdAgAp@[f@K|@AxANPC|@@\Ex@@fAOl@UVQPSTe@zAqBn@_@XIv@C^@dATl@Rn@Lx@?f@I\Uh@u@l@m@PYHWJy@Li@@KAsAIc@]eASg@S]s@u@Um@eAcB]y@]sAEw@SiAGqAWmAGm@Y}@QaAe@uAi@iAe@q@YQg@c@}A_AsAa@q@Mi@AwASmAA_@G_AZYBg@f@[T_@LiA@cBIWBWLe@f@oBh@a@\{@d@aCp@k@JmAp@}An@i@Jw@?q@Fc@Ce@DkA`@kAh@aBn@c@JUL[Jq@`@k@VYPuApASVw@pAuArDW^_@b@[PWDiBD[Be@P[R_@NYHe@@_AOe@SgBgAg@E]?m@Pi@`@UZWNQ^a@f@QJo@P_BZcD\cAViB?ODWPyA\k@CIEYa@IEk@Me@WoAYCCw@Ke@Mc@Om@]OBaA]_AOo@_@k@KkBe@W?WMu@Q_A]e@Kq@UeAe@E?CCE@WEMGq@ESGICUWCQKJ_AKaAUQ?iA^e@Do@Qy@Ai@OMBi@VGF]BGFkA\CHMHWDQLe@JyBT[C{@Do@J_@?SIYHWTKDs@JOFY@SFw@Gc@DeB\GLLzA@v@CXCHMHs@DQHkB\u@Aa@@]HGJG`@@NCVE`A@LF@N?f@Jx@?jBS|A[,2,,,,,,
8,2,Long run,15196.1,5251,5518,100.2,Run,0,6022920225,garmin_push_7557794030,6401376771,2021-09-26T12:48:09Z,2021-09-26T08:48:09Z,(GMT-05:00) America/New_York,-14400,"[40.688493, -73.970881]","[40.689398, -73.97114]",,,United States,40.688493,-73.97114,8,5,1,1,0,FALSE,FALSE,FALSE,FALSE,everyone,FALSE,g8965373,FALSE,6401376771,2.894,9.8,79.8,TRUE,161.4,178,FALSE,TRUE,51.3,3.9,1,0,FALSE,3171594,1,a6022920225,a~iwF`mnbMCNcFbAiJ~@eEt@gBH_AX}C`@wC?kDj@MJ}Ex@y@?sBb@a@xAMJUx@SLHfCMbC@bIYzM@ZFFQhEiDLw@d@g@@eBi@}BMoErCeDHYTU`EF|AUxCDrBEbAqAl@yCA[TIz@GlGIRwAp@Yv@HTEz@NbCLHP[v@|@BVA`@?pBe@zAMv@?Z\d@jARr@bAPd@?XShAElAL@@IHGIVQJDFAVZzAx@Df@\M`APzD`@b@^t@ARa@d@AR|@x@@TIh@Jd@rA~@nDfBrCj@t@h@~@^~ADl@v@j@\l@FdAQhAtAt@PnAHbCdAtCrCtAv@h@|@bFtB|@|Ar@TTXpAl@|Bz@j@LROrAkDr@{@PgAl@s@PChI~Cx@j@~Bv@l@`@nCz@xEnB~HtBnAv@v@BJEVi@~@sC@]Mk@`AcE^{@XeACi@Z}@FgBRq@HaA`@qARoA^_AZ_C`@oAQg@t@_A\{@t@eC^eBU[?Id@kAb@qB~AyE@g@xAmDTsAhBuF|@cEx@mCBc@tAgDLcAbBoGXk@^aBAO^y@d@{Bf@_AZmAXY`@cB?QzAcEKq@~@eB`@qB\eABa@Vu@V}AdA{B\iAd@y@Z{@h@{C?KQ_@hBoEt@_CZeCf@{AJOF[Dw@Hc@Ro@xAsBFS?eAd@m@h@wBXOtAKj@JpAl@b@x@x@v@bDtBhAvAlAbAx@ZxDl@t@?`Dc@vACt@Rt@l@n@|@j@f@rAv@dAX`Av@z@b@rAfBfAbBr@`BRtAtAtCdBjBtB`A`ACr@g@~@_Ch@eEj@gCnBoBt@gB@U`BqBLo@Iy@eAuB[[aAYk@_@aBmBsAi@s@iAw@g@S[wAy@_BiBe@k@_@{Aa@q@WmAyBaA{AOu@c@uCcAy@Cs@SASLa@Ma@OGe@FkAbA}@tAqA~CeAjBa@\{@XaB@qBn@y@D}DkAuCSu@PeAlBk@`@{EjA{D\eAG{@`@mARYX}@iAyAYqAq@mCi@k@Wa@?aCi@iHwB}Cc@s@a@qAS{@e@_@AiA_@u@M_A\o@Aw@UuCFk@NWZc@TBNmAh@oAGsHd@q@LMNaBNa@PkCRDpC[ZJ`A\vAA^yI|A,2,,,,,,
9,2,Afternoon Run,10336.1,3410,3567,104,Run,,6013257677,garmin_push_7547461578,6391221829,2021-09-24T20:16:54Z,2021-09-24T16:16:54Z,(GMT-05:00) America/New_York,-14400,"[40.688414, -73.970976]","[40.687769, -73.970734]",,,United States,40.688414,-73.970734,6,2,0,1,0,FALSE,FALSE,FALSE,FALSE,everyone,FALSE,g8965373,FALSE,6391221829,3.031,10.2,78.8,TRUE,166.9,185,FALSE,TRUE,44.3,4.1,1,0,FALSE,3171594,1,a6013257677,q}iwFrmnbMm@]HLcBFy@XEj@@tA?p@E\@XA`AIT@r@GXE~@G\Fx@IREdBFj@?~@Ep@F~@Ab@BVFL?RCPMZ}@j@KP?VRTLDBHS`AD^MLCLFt@Gz@@b@Cd@?hAFXEpAHn@GZMNBb@FVC^HR@l@R\NNBZ`@`@b@TCBh@RDPAA@BS`@_@BaAEQJUZsErAoAj@AFKICX[VeABgAM{@LC@Rx@AXUf@e@X@FK?AFc@Ac@Tk@C}@ZWN[DM\@LGXEBANYRg@?_@[COEAw@De@GOFc@I]?CVOTE`@@bAElBLp@Id@D\AVQb@a@j@QLERDb@IH@DLVNBZj@D`AEVL`AGR@PQJKh@MRKDu@De@A_AD]EcAVeE]qAQs@Bq@Ca@HgAl@YZcAzAo@|AYb@Ul@{@r@uAfBk@lAiEtE}@vA_@\{AbB{@hAYHQRI^IRmAxBmBzBuAvBSDURo@`AoBvB{A|BSP_@P?L[d@Yx@cBvBaAzA}C~DaDpEuAbBi@~@]VSDQPK@GHu@IOt@e@~@i@l@Sl@s@?@FEDn@~@NLQHYVw@P_@KEQVBJQuBwAuBcD}AeAGMDEmCeAJDa@M}AwAO?i@c@{@a@mAmA_A[aAq@Qw@Qa@OY]OKgCRUAa@Ka@HoADOd@c@JYN}@?Sp@gDl@k@Pu@?WKa@FSj@]HAvAd@f@@VYBYb@u@TUTMh@s@rAw@dAUTe@PKRWh@U`@m@v@W|@DXI^_@d@Bv@Sj@YhAy@t@WfAaAx@OfBeAfBe@j@]|@Yp@_@n@g@dCu@dC{AhBuA`AYxC_Bl@QR@ZOp@I`Ai@nBw@TSnAo@XW`A[x@a@dAu@Tc@jA?lAU`@FNC`@R\@^IZa@FUAINSCKFUR[^UFg@JQFc@PWVOd@Sr@DJDDLSBEFDDEFUDc@XS@SEKO_@YGo@IKE@\u@Ja@d@gDFgAHe@GgB@sIHqFHiAHQNEfABd@NLGpADVKBQ?oAFoAA[PmAA}AG}@Z_I@y@CsADiA?mAJmBCYD_@FaGFO`Ci@JK\Ev@YP@xBY`ACrCa@pBWdA@t@ObAI|@Y|@A|@M~Bo@z@Bt@G~Bu@|AOpBEnADn@EzASz@Y|AMPI,2,,,,,,
